1,0,-0.023623,0.018658,0.998659,68.13,91.98,-87.37
2,99,-0.042109,0.033620,0.997208,138.13,230.98,-21.37
3,199,-0.058811,0.046338,0.996212,94.13,217.98,120.63
4,299,-0.073191,0.058906,0.993919,110.13,164.98,-143.37
5,399,-0.088472,0.068838,0.993472,-6.88,-51.03,-94.38
6,499,-0.096279,0.077134,0.991865,81.15,114.00,-48.35
7,599,-0.108920,0.087079,0.991561,-62.85,-352.00,-630.35
8,699,-0.115856,0.093151,0.991101,-325.87,-706.02,-91.37
9,799,-0.119317,0.097251,0.990344,-197.86,-421.01,102.64
10,899,-0.118085,0.096176,0.993528,296.12,577.97,-122.38
11,999,-0.124581,0.099474,0.990814,635.13,1149.98,-497.37
12,1109,-0.126861,0.107276,0.979425,465.13,880.98,-151.37
13,1209,-0.135300,0.110026,0.980090,422.13,922.98,-55.37
14,1309,-0.140770,0.113278,0.980105,585.13,1363.98,62.63
15,1419,-0.153037,0.120548,0.976988,653.13,1564.98,207.63
16,1519,-0.151891,0.118157,0.976498,1714.14,4017.99,-654.36
17,1619,-0.178914,0.139600,0.969472,1495.13,4759.98,557.63
18,1719,-0.186448,0.157221,0.931749,-2038.88,4415.97,-34.38
19,1829,-0.220282,0.165828,0.911349,-6577.87,-744.02,-3033.37
20,1929,-0.247941,0.151537,0.866598,2863.13,6127.98,-1390.37
21,2029,-0.266141,0.127579,0.892445,-3780.87,10687.98,-1336.37
22,2139,-0.319075,0.104560,0.868363,-1865.87,15621.98,195.63
23,2239,-0.408893,0.078677,0.819696,-1289.87,21721.98,4670.63
24,2339,-0.532863,0.086962,0.745993,-2428.86,28265.99,-489.36
25,2439,-0.503400,0.083402,0.560975,-8813.87,23528.98,8134.63
26,2539,-0.547496,0.102843,0.400488,-1970.87,-4749.02,-1361.37
27,2649,-0.619970,0.087142,0.322814,1231.14,-4364.01,-2971.36
28,2749,-0.678826,0.081907,0.200413,693.14,706.99,1558.64
29,2849,-0.706001,0.083812,0.135044,-749.86,459.99,-261.36
30,2949,-0.745910,0.079278,0.060437,376.13,-1768.02,-728.37
31,3059,-0.772546,0.076870,0.000006,143.11,-830.04,-654.39
32,3159,-0.796706,0.072791,-0.044019,-26.89,-1341.04,-1249.39
33,3259,-0.816234,0.066450,-0.076257,17.13,-379.02,-9.37
34,3359,-0.835910,0.060950,-0.106388,98.11,-896.04,-187.39
35,3469,-0.853953,0.055304,-0.130132,54.11,-635.04,-27.39
36,3569,-0.872090,0.050761,-0.151871,62.11,-727.04,-48.39
37,3669,-0.890657,0.047687,-0.168609,215.11,-2960.04,-176.39
38,3769,-0.917718,0.041302,-0.180639,206.11,-8422.04,-696.39
39,3879,-0.918162,0.036553,-0.145363,497.10,-11604.05,407.60
40,3979,-0.908248,0.033998,-0.095219,476.09,-5924.06,259.59
41,4079,-0.906487,0.035618,-0.045309,633.10,-315.05,-139.40
42,4189,-0.918155,0.038935,-0.016600,-1.90,-800.05,-10.40
43,4289,-0.922452,0.035181,0.021792,-11.92,-3580.07,-441.42
44,4389,-0.915173,0.029829,0.063214,231.10,-1640.05,-172.40
45,4489,-0.922480,0.031671,0.092308,13.09,666.94,35.59
46,4589,-0.928453,0.031369,0.116964,34.09,-522.06,-38.41
47,4699,-0.919724,0.028549,0.152533,185.10,499.95,-12.40
48,4799,-0.927796,0.027177,0.166928,-33.92,-445.07,-57.42
49,4899,-0.934730,0.027311,0.179018,32.10,184.95,2.60
50,4999,-0.940458,0.027443,0.189642,-5.91,-11.06,9.59
